pmid,y_true,y_pred,correct
22720085,1,0,0
21074975,1,1,1
25604390,1,0,0
14968373,1,1,1
10135926,1,1,1
19419587,1,0,0
23379759,1,0,0
19923859,1,1,1
22656647,1,1,1
12163782,1,1,1
21658267,1,1,1
9199905,1,1,1
23375036,1,0,0
24495711,1,1,1
26820719,1,0,0
26516021,1,1,1
20064872,1,2,0
15708048,1,1,1
29112560,1,1,1
23949294,1,1,1
10877371,1,2,0
23870157,1,1,1
18540901,1,1,1
21420186,1,1,1
12484580,1,0,0
23321509,1,0,0
26907557,1,1,1
22644412,1,1,1
25521278,1,0,0
21845457,1,1,1
18565233,1,1,1
17894828,1,2,0
10490564,1,1,1
7860319,1,1,1
18568239,1,0,0
9488747,1,1,1
20354380,1,0,0
24245816,1,0,0
11481599,1,1,1
27217036,1,0,0
23283159,1,1,1
19593710,1,0,0
18693227,1,1,1
21346501,1,1,1
17910536,1,1,1
26304701,1,1,1
18616781,1,1,1
9483814,1,1,1
12848629,1,0,0
25280365,1,1,1
25311479,1,1,1
16046584,1,1,1
26418441,1,0,0
22683044,1,1,1
26200172,1,1,1
20121683,1,1,1
18222909,1,0,0
12221908,1,1,1
24014276,1,0,0
24270957,1,1,1
18507507,1,1,1
16772913,1,1,1
12172698,1,1,1
26460153,1,1,1
12419743,1,0,0
25725704,1,0,0
25669733,1,1,1
24614789,1,1,1
24996865,1,1,1
18928979,1,0,0
25699562,1,1,1
24577079,0,0,1
24669960,0,0,1
15502995,0,1,0
21214884,0,2,0
24476003,0,1,0
22758782,0,1,0
14627582,0,0,1
24666444,0,1,0
18496363,0,0,1
12040336,0,0,1
14631523,0,1,0
21823940,0,1,0
17971187,0,0,1
27642458,0,1,0
12970636,0,1,0
11138995,0,2,0
15388567,0,1,0
19142546,0,1,0
8921484,0,1,0
26209118,0,1,0
22668852,0,0,1
18019905,0,1,0
18378554,0,2,0
24073931,0,0,1
7547656,0,0,1
28359277,0,1,0
18667100,0,1,0
10781708,0,0,1
22522271,0,0,1
11955750,0,2,0
26126304,0,1,0
27338535,0,1,0
24799031,0,1,0
18319270,0,0,1
21789019,0,1,0
11567820,0,1,0
10966943,0,1,0
8199520,0,0,1
21889895,0,0,1
26113007,0,1,0
17208539,0,1,0
20538207,0,0,1
9603166,0,0,1
21194998,0,1,0
21252642,0,1,0
16678696,0,1,0
20549895,0,2,0
16418930,0,1,0
8521557,0,1,0
16809243,0,0,1
10798511,0,0,1
10834864,0,1,0
16962519,0,0,1
19575104,0,2,0
24809662,0,0,1
20602101,0,0,1
26852225,0,1,0
19398929,0,1,0
25614468,0,0,1
11926574,0,1,0
10973547,0,1,0
26471488,0,0,1
19520213,0,0,1
23677366,0,1,0
17342562,0,0,1
16296668,0,0,1
17054994,0,1,0
26556589,0,1,0
15052394,0,1,0
22513023,0,1,0
15919266,0,1,0
15095519,0,2,0
12006913,0,1,0
8738894,0,1,0
21431987,0,0,1
22154448,0,1,0
15053041,0,0,1
22365295,0,1,0
19546588,0,1,0
7482275,0,1,0
24698298,0,0,1
18274917,0,0,1
21946341,0,1,0
23568387,0,1,0
21256734,0,1,0
22534881,0,1,0
8566975,0,1,0
23761381,0,2,0
22668712,0,0,1
22023714,0,0,1
22504515,0,1,0
21164063,0,2,0
18359123,0,2,0
16827975,0,1,0
24922528,0,0,1
15774570,0,1,0
20736887,0,1,0
11483547,0,1,0
9542484,0,0,1
18708308,0,0,1
18435678,0,1,0
23455575,0,1,0
22537902,0,0,1
18926458,0,0,1
12090319,0,1,0
12380309,0,1,0
27989969,0,0,1
25752912,0,0,1
26536001,0,1,0
21849531,0,0,1
16872243,0,1,0
23571528,0,1,0
19481382,0,1,0
23621776,0,0,1
22227642,0,0,1
23025584,0,0,1
11862129,0,0,1
22236315,0,1,0
21361755,0,0,1
18719011,0,1,0
11438275,0,1,0
16778275,0,0,1
17051586,0,1,0
24061619,0,0,1
22233470,0,0,1
23497210,0,0,1
25488308,0,1,0
22382608,0,1,0
19237087,0,0,1
10381996,0,0,1
9100537,0,2,0
23422012,0,1,0
22876568,0,0,1
17445978,0,0,1
20608141,0,0,1
23177368,0,0,1
8847047,0,1,0
22011946,0,1,0
27394685,0,1,0
23794696,0,0,1
23076787,0,0,1
19854401,0,2,0
14652839,0,1,0
7664228,0,1,0
17062234,0,0,1
24449622,0,1,0
12070552,0,0,1
19836806,0,0,1
19913785,0,0,1
24739448,0,1,0
24625433,0,1,0
16403186,0,1,0
10375486,0,1,0
17032327,0,0,1
27643961,0,2,0
22042121,0,0,1
17274051,0,0,1
27096199,0,0,1
7497757,0,0,1
21459725,0,2,0
27040842,0,0,1
20187289,0,1,0
21712147,0,0,1
10456814,0,1,0
17192736,0,0,1
27757987,0,1,0
12769830,0,1,0
22251324,0,0,1
28196511,0,0,1
18284441,2,1,0
18802997,2,1,0
17621202,2,1,0
11411430,2,1,0
26708803,2,1,0
25079920,2,0,0
25793749,2,2,1
19103915,2,0,0
11867487,2,1,0
12630042,2,0,0
19468282,2,1,0
16538201,2,1,0
20971618,2,1,0
24336869,2,1,0
20197761,2,0,0
16968876,2,0,0
26778755,2,0,0
18568290,2,1,0
25371231,2,2,1
25394614,2,0,0
11570976,2,0,0
16816043,2,2,1
12805495,2,0,0
25571931,2,2,1
19578820,2,0,0
18243752,2,2,1
11458136,2,1,0
12790890,2,1,0
18714572,2,0,0
25103647,2,0,0
24995509,2,2,1
27044366,2,1,0
26606599,2,0,0
17076091,2,1,0
26037986,2,1,0
22491528,2,1,0
24591144,2,0,0
19351635,2,0,0
20337202,2,0,0
23149821,2,0,0
18235194,2,1,0
16392897,2,1,0
17940352,2,1,0
27615402,2,0,0
25779009,2,1,0
12407608,2,1,0
14599616,2,0,0
10223070,2,0,0
20736672,2,1,0
25277731,2,1,0
17691856,2,1,0
16735905,2,0,0
19694846,2,1,0
25007420,2,1,0
26134053,2,1,0
